employee_id,employee_code,full_name,date_of_birth,gender,place_of_birth,ethnicity,religion,marital_status,phone_number,personal_email,company_email,password_hash,permanent_address,current_address,nationality_id,avatar_url,bank_account,bank_id,bank_branch,emergency_contact_name,emergency_contact_phone,emergency_contact_relation,status,hire_date,seniority_start_date,base_leave_days,last_seniority_calc,resignation_date,created_at,updated_at,created_by,updated_by
1,NV0001,"Nguyễn Văn An",1990-05-15,NAM,"H? N?i",Kinh,Kh?ng,??_K?T_H?N,0912345678,an.nguyen@gmail.com,an.nguyen@company.com,$2y$10$8MCAGDdeXY0m8BE9jd4YH.GNCPZ2L2rBlwfGic5Hq6O9.Z2ldaWl6,"S? 1, ???ng A, Q.1, TP.HCM","S? 10, ???ng B, Q.2, TP.HCM",1,,123456789,1,"Chi nh?nh H? N?i","Tr?n Th? B?nh",0987654321,V?,ĐANG_LÀM_VIỆC,2015-06-01,2015-06-01,12.00,,,"2026-04-15 01:44:34","2026-04-23 12:23:12",,
2,NV0002,"Trần Thị Mai",1992-08-20,N?,"H?i Ph?ng",Kinh,"Ph?t gi?o",??C_TH?N,0923456789,mai.tran@gmail.com,mai.tran@company.com,,"S? 2, ???ng C, H?i Ph?ng","S? 20, ???ng D, Q.3, TP.HCM",1,,234567891,2,"Chi nh?nh H?i Ph?ng","Nguy?n V?n H?ng",0976543210,B?,ĐANG_LÀM_VIỆC,2016-03-15,2016-03-15,12.00,,,"2026-04-15 01:44:34","2026-04-23 12:23:12",,
3,NV0003,"Lê Văn Cường",1988-11-10,NAM,"?? N?ng",Kinh,"Thi?n ch?a gi?o",??_K?T_H?N,0934567891,cuong.le@gmail.com,cuong.le@company.com,$2y$10$mlZ8sp3QDX/TcipjerC0DuXRmkTHCphvhOTDuWRrxjl0YHVPIT8DK,"S? 3, ???ng E, ?? N?ng","S? 30, ???ng F, Q.4, TP.HCM",1,,345678912,3,"Chi nh?nh ?? N?ng","Ph?m Th? Lan",0965432109,V?,ĐANG_LÀM_VIỆC,2014-09-01,2014-09-01,12.00,,,"2026-04-15 01:44:34","2026-04-23 12:23:12",,
4,NV0004,"Phạm Thị Hương",1991-02-28,N?,"C?n Th?",Kinh,Kh?ng,??_K?T_H?N,0945678901,huong.pham@gmail.com,huong.pham@company.com,,"S? 4, ???ng G, C?n Th?","S? 40, ???ng H, Q.5, TP.HCM",1,,456789123,4,"Chi nh?nh C?n Th?","L? V?n H?i",0954321098,Ch?ng,ĐANG_LÀM_VIỆC,2015-11-01,2015-11-01,12.00,,,"2026-04-15 01:44:34","2026-04-23 12:23:12",,
5,NV0005,"Hoàng Văn Đức",1989-07-12,NAM,Hu?,Kinh,"Ph?t gi?o",??_K?T_H?N,0956789012,duc.hoang@gmail.com,duc.hoang@company.com,$2y$10$f5UBHCNMxGChaiK7DMMr8.EQjIi./IBC8tRzME.pHvy.gi2iGNHwe,"S? 5, ???ng I, Hu?","S? 50, ???ng K, Q.6, TP.HCM",1,,567891234,5,"Chi nh?nh Hu?","Ho?ng Th? Hoa",0943210987,M?,ĐANG_LÀM_VIỆC,2013-04-01,2013-04-01,12.00,,,"2026-04-15 01:44:34","2026-04-23 12:23:12",,
6,NV0006,"Đặng Thị Ngọc",1993-12-05,N?,"Nha Trang",Kinh,Kh?ng,??_K?T_H?N,0967890123,ngoc.dang@gmail.com,ngoc.dang@company.com,,"S? 6, ???ng L, Nha Trang","S? 60, ???ng M, Q.7, TP.HCM",1,,678912345,6,"Chi nh?nh Nha Trang","??ng V?n Th?nh",0932109876,B?,ĐANG_LÀM_VIỆC,2016-07-01,2016-07-01,12.00,,,"2026-04-15 01:44:34","2026-04-23 12:23:12",,
7,NV0007,"Bùi Văn Quân",1987-09-18,NAM,"Qu?ng Ninh",Kinh,"Ph?t gi?o",??_K?T_H?N,0978901234,quan.bui@gmail.com,quan.bui@company.com,,"S? 7, ???ng N, Qu?ng Ninh","S? 70, ???ng P, Q.8, TP.HCM",1,,789123456,7,"Chi nh?nh Qu?ng Ninh","B?i Th? Thanh",0921098765,V?,ĐANG_LÀM_VIỆC,2012-10-01,2012-10-01,12.00,,,"2026-04-15 01:44:34","2026-04-23 12:23:12",,
8,NV0008,"Vũ Thị Lan",1994-04-22,N?,"B?c Ninh",Kinh,Kh?ng,??C_TH?N,0989012345,lan.vu@gmail.com,lan.vu@company.com,,"S? 8, ???ng Q, B?c Ninh","S? 80, ???ng R, Q.9, TP.HCM",1,,891234567,8,"Chi nh?nh B?c Ninh","V? V?n To?n",0910987654,"Anh trai",ĐANG_LÀM_VIỆC,2017-02-01,2017-02-01,12.00,,,"2026-04-15 01:44:34","2026-04-23 12:23:12",,
9,NV0009,"Đỗ Văn Hải",1986-06-30,NAM,"H? Nam",Kinh,"Thi?n ch?a gi?o",??_K?T_H?N,0990123456,hai.do@gmail.com,hai.do@company.com,$2y$10$D3ZTbrT8W6pq.WJgjwd8FuuESHc0l9dJHUaO6Tw8787GP3t.cl2pm,"S? 9, ???ng S, H? Nam","S? 90, ???ng T, Q.10, TP.HCM",1,,912345678,9,"Chi nh?nh H? Nam","?? Th? H?ng",0909876543,V?,ĐANG_LÀM_VIỆC,2011-05-01,2011-05-01,12.00,,,"2026-04-15 01:44:34","2026-04-23 12:23:12",,
10,NV0010,"Lý Thị Hoa",1995-10-15,N?,"L?ng S?n",T?y,"Ph?t gi?o",??C_TH?N,0901234567,hoa.ly@gmail.com,hoa.ly@company.com,,"S? 10, ???ng U, L?ng S?n","S? 100, ???ng V, Q.11, TP.HCM",1,,123456780,10,"Chi nh?nh L?ng S?n","L? V?n C??ng",0898765432,B?,ĐANG_LÀM_VIỆC,2018-08-01,2018-08-01,12.00,,,"2026-04-15 01:44:34","2026-04-23 12:23:12",,
11,NV0011,"Ngô Văn Tùng",1985-03-08,NAM,"Nam ??nh",Kinh,Kh?ng,??_K?T_H?N,0912345670,tung.ngo@gmail.com,tung.ngo@company.com,,"S? 11, ???ng W, Nam ??nh","S? 110, ???ng X, Q.12, TP.HCM",1,,234567801,1,"Chi nh?nh Nam ??nh","Ng? Th? Thu",0887654321,V?,ĐANG_LÀM_VIỆC,2010-01-01,2010-01-01,12.00,,,"2026-04-15 01:44:34","2026-04-23 12:23:12",,
12,NV0012,"Dương Thị Hồng",1992-11-25,N?,"Th?i B?nh",Kinh,"Ph?t gi?o",??_K?T_H?N,0923456780,hong.duong@gmail.com,hong.duong@company.com,,"S? 12, ???ng Y, Th?i B?nh","S? 120, ???ng Z, Th? ??c",1,,345678012,2,"Chi nh?nh Th?i B?nh","D??ng V?n H?ng",0876543210,B?,ĐANG_LÀM_VIỆC,2016-09-01,2016-09-01,12.00,,,"2026-04-15 01:44:34","2026-04-23 12:23:12",,
13,NV0013,"Trịnh Văn Phúc",1988-07-19,NAM,"Thanh H?a",Kinh,"Thi?n ch?a gi?o",??C_TH?N,0934567890,phuc.trinh@gmail.com,phuc.trinh@company.com,,"S? 13, ???ng AB, Thanh H?a","S? 130, ???ng AC, B?nh Th?nh",1,,456789123,3,"Chi nh?nh Thanh H?a","Tr?nh Th? Lan",0865432109,M?,ĐANG_LÀM_VIỆC,2014-04-01,2014-04-01,12.00,,,"2026-04-15 01:44:34","2026-04-23 12:23:12",,
14,NV0014,"Đinh Thị Nhung",1990-09-14,N?,"Ngh? An",Kinh,Kh?ng,??_K?T_H?N,0945678900,nhung.dinh@gmail.com,nhung.dinh@company.com,$2y$10$lgkbq94I9rSU0.zfTAHJ6u341LiN0AHo/fuDEwfKEAjJhHcWwDuo6,"S? 14, ???ng AD, Ngh? An","S? 140, ???ng AE, G? V?p",1,,567891234,4,"Chi nh?nh Ngh? An","?inh V?n Nam",0854321098,Ch?ng,ĐANG_LÀM_VIỆC,2015-05-15,2015-05-15,12.00,,,"2026-04-15 01:44:34","2026-04-23 12:23:12",,
15,NV0015,"Lương Văn Kiên",1984-12-03,NAM,"H? T?nh",Kinh,"Ph?t gi?o",??_K?T_H?N,0956789010,kien.luong@gmail.com,kien.luong@company.com,,"S? 15, ???ng AF, H? T?nh","S? 150, ???ng AG, T?n B?nh",1,,678912345,5,"Chi nh?nh H? T?nh","L??ng Th? H?",0843210987,V?,ĐANG_LÀM_VIỆC,2009-08-10,2009-08-10,12.00,,,"2026-04-15 01:44:34","2026-04-23 12:23:12",,
16,NV0016,"Mai Thị Quỳnh",1993-01-27,N?,"Qu?ng B?nh",Kinh,Kh?ng,??C_TH?N,0967890120,quynh.mai@gmail.com,quynh.mai@company.com,,"S? 16, ???ng AH, Qu?ng B?nh","S? 160, ???ng AI, Ph? Nhu?n",1,,789123456,6,"Chi nh?nh Qu?ng B?nh","Mai V?n ??c",0832109876,B?,ĐANG_LÀM_VIỆC,2017-03-20,2017-03-20,12.00,,,"2026-04-15 01:44:34","2026-04-23 12:23:12",,
17,NV0017,"Hà Văn Phát",1989-05-02,NAM,"Qu?ng Tr?",Kinh,"Thi?n ch?a gi?o",??_K?T_H?N,0978901230,phat.ha@gmail.com,phat.ha@company.com,,"S? 17, ???ng AJ, Qu?ng Tr?","S? 170, ???ng AK, T?n Ph?",1,,891234567,7,"Chi nh?nh Qu?ng Tr?","H? Th? Y?n",0821098765,V?,ĐANG_LÀM_VIỆC,2013-06-05,2013-06-05,12.00,,,"2026-04-15 01:44:34","2026-04-23 12:23:12",,
18,NV0018,"Lâm Thị Ngọc",1991-08-11,N?,"??k L?k","? ??","Ph?t gi?o",??_K?T_H?N,0989012340,ngoc.lam@gmail.com,ngoc.lam@company.com,,"S? 18, ???ng AL, ??k L?k","S? 180, ???ng AM, B?nh T?n",1,,912345678,8,"Chi nh?nh ??k L?k","L?m V?n S?n",0810987654,Ch?ng,ĐANG_LÀM_VIỆC,2015-10-12,2015-10-12,12.00,,,"2026-04-15 01:44:34","2026-04-23 12:23:12",,
19,NV0019,"Tô Văn Tài",1986-02-18,NAM,"Gia Lai",Kinh,Kh?ng,??_K?T_H?N,0990123450,tai.to@gmail.com,tai.to@company.com,,"S? 19, ???ng AN, Gia Lai","S? 190, ???ng AO, Nh? B?",1,,123456789,9,"Chi nh?nh Gia Lai","T? Th? Th?o",0809876543,V?,ĐANG_LÀM_VIỆC,2012-07-25,2012-07-25,12.00,,,"2026-04-15 01:44:34","2026-04-23 12:23:12",,
